req_1,req_2,coocorrencias
V3.7.1,V8.3.4,12
V4.2.1,V5.1.5,12
V5.1.4,V8.3.1,11
V4.2.1,V5.2.1,11
V3.1.1,V3.2.3,11
V5.1.1,V5.1.4,11
V3.3.1,V5.3.1,11
V2.5.5,V5.2.6,11
V2.2.1,V5.2.6,11
V4.3.1,V5.2.6,11
V3.3.1,V5.3.3,11
V3.2.3,V7.1.2,11
V3.4.3,V5.1.4,11
V13.1.3,V8.3.4,11
V12.4.1,V5.3.4,11
V5.2.3,V5.3.4,11
V3.4.1,V5.1.4,11
V3.4.1,V3.7.1,11
V2.1.1,V5.1.3,11
V5.3.5,V7.1.1,10
V12.4.1,V4.2.1,10
V3.1.1,V4.3.1,10
V5.3.5,V7.1.2,10
V3.2.3,V3.7.1,10
V3.1.1,V3.7.1,10
V3.2.3,V5.1.4,10
V3.2.3,V7.1.1,10
V3.3.2,V4.3.1,10
V3.3.1,V5.3.4,10
V5.1.3,V5.5.1,10
V12.3.1,V5.3.3,10
V12.3.1,V7.1.1,10
V12.3.1,V5.3.1,10
V12.3.1,V5.2.1,10
V12.3.1,V5.1.3,10
V12.3.1,V12.4.1,10
V12.4.1,V5.2.1,10
V12.3.1,V7.1.2,10
V5.1.1,V5.3.5,10
V5.1.1,V5.3.2,10
V4.3.1,V8.3.1,10
V5.1.2,V5.1.3,10
V3.4.3,V3.7.1,10
V3.1.1,V5.1.4,10
V5.3.2,V7.1.2,9
V5.2.1,V8.3.1,9
V5.1.3,V5.2.2,9
V5.2.1,V5.2.3,9
V2.5.5,V4.3.1,9
V3.4.1,V8.3.4,9
V3.4.1,V5.1.5,9
V5.2.3,V7.1.2,9
V12.4.1,V3.4.3,9
V3.2.2,V3.2.3,9
V3.1.1,V5.2.1,9
V3.4.3,V5.1.5,9
V3.4.3,V8.3.4,9
V2.1.1,V5.1.4,9
V12.4.1,V3.4.1,9
V12.4.1,V8.3.1,9
V5.1.2,V5.3.4,9
V12.3.1,V5.3.4,9
V5.1.5,V8.3.1,9
V5.1.1,V5.1.5,9
V5.1.2,V5.3.1,9
V5.1.2,V5.3.3,9
V5.3.1,V8.3.3,9
V5.1.5,V5.3.2,9
V5.1.3,V5.5.4,9
V5.3.3,V8.3.3,9
V5.3.2,V7.1.1,9
V3.4.1,V5.2.1,9
V5.1.4,V5.1.5,9
V3.4.3,V5.2.1,9
V3.4.2,V5.1.4,9
V3.2.2,V5.1.3,9
V3.7.1,V5.3.2,9
V3.3.1,V7.1.2,9
V12.4.1,V3.1.1,9
V5.2.3,V7.1.1,9
V5.1.1,V7.1.2,9
V3.2.3,V3.3.1,9
V13.1.3,V5.1.5,9
V3.2.3,V3.4.1,9
V13.1.1,V5.1.3,8
V3.2.3,V3.4.3,8
V5.2.2,V5.3.1,8
V5.1.1,V5.2.2,8
V5.1.4,V5.2.6,8
V12.3.1,V4.2.1,8
V3.7.1,V5.3.5,8
V13.1.1,V4.2.1,8
V3.1.1,V8.3.4,8
V13.1.3,V3.3.1,8
V2.1.1,V5.3.3,8
V3.2.2,V5.3.1,8
V5.3.2,V5.5.1,8
V7.1.1,V8.3.3,8
V2.2.1,V4.3.1,8
V3.4.2,V5.2.1,8
V5.2.3,V5.3.2,8
V5.1.5,V5.2.6,8
V13.1.3,V5.2.1,8
V7.1.2,V8.3.3,8
V5.5.3,V5.5.4,8
V12.4.1,V3.4.2,8
V5.1.4,V8.3.4,8
V2.1.1,V5.3.1,8
V3.7.1,V8.3.3,8
V3.3.1,V7.1.1,8
V5.3.1,V5.5.1,8
V5.1.1,V7.1.1,8
V4.2.1,V5.5.4,8
V5.3.5,V5.5.1,8
V5.3.3,V5.5.4,8
V5.3.4,V8.3.4,8
V13.1.1,V3.7.1,8
V5.1.3,V5.5.3,8
V3.2.2,V5.3.3,8
V3.1.1,V3.3.1,8
V4.3.1,V5.1.4,8
V3.3.1,V4.2.1,8
V13.1.1,V8.3.1,8
V3.3.1,V3.4.1,8
V13.1.1,V8.3.4,8
V3.4.2,V3.7.1,8
V5.3.4,V5.5.4,8
V5.3.1,V5.5.4,8
V5.1.4,V5.2.2,7
V5.3.4,V5.5.1,7
V5.3.3,V5.5.1,7
V12.3.1,V3.4.1,7
V12.3.1,V3.1.1,7
V5.1.1,V5.2.6,7
V5.2.3,V5.3.5,7
V8.3.3,V8.3.4,7
V5.2.2,V5.3.5,7
V5.2.2,V5.3.3,7
V5.2.2,V5.3.2,7
V5.1.4,V5.2.1,7
V12.3.1,V3.4.3,7
V5.2.1,V5.2.2,7
V3.2.2,V3.7.1,7
V3.7.1,V5.5.1,7
V3.4.1,V5.5.4,7
V2.1.1,V5.3.4,7
V3.4.3,V5.5.4,7
V3.4.2,V5.1.5,7
V2.1.1,V2.5.6,7
V2.1.8,V5.1.3,7
V5.5.1,V7.1.1,7
V5.1.2,V5.3.2,7
V5.3.2,V8.3.4,7
V5.1.2,V5.3.5,7
V5.5.1,V7.1.2,7
V5.5.4,V8.3.1,7
V5.3.4,V8.3.3,7
V2.1.1,V2.1.8,7
V3.7.1,V5.1.1,7
V3.4.2,V8.3.4,7
V4.3.1,V8.3.4,7
V5.1.1,V5.1.2,7
V5.1.5,V5.3.5,7
V5.1.2,V5.1.5,7
V4.3.1,V5.1.1,7
V5.1.4,V8.3.3,7
V4.2.1,V5.5.3,7
V3.3.1,V3.4.3,7
V3.4.1,V3.4.4,7
V3.4.4,V5.1.3,7
V13.1.3,V5.5.4,7
V13.1.1,V13.1.3,7
V3.4.3,V3.4.4,7
V3.3.1,V8.3.1,7
V3.2.3,V5.5.1,7
V3.2.3,V5.3.5,7
V3.2.3,V5.3.2,7
V3.2.2,V5.3.4,7
V3.2.3,V8.3.1,7
V3.2.3,V4.2.1,7
V5.5.3,V7.1.1,7
V5.3.1,V5.5.3,7
V2.5.6,V5.1.4,7
V2.5.6,V5.1.3,7
V13.1.3,V5.1.4,7
V7.1.2,V8.3.4,7
V7.1.1,V8.3.4,7
V5.5.3,V7.1.2,7
V5.5.4,V7.1.1,7
V5.5.4,V7.1.2,7
V5.3.4,V5.5.3,7
V5.3.3,V5.5.3,7
V4.3.1,V5.2.1,7
V2.5.5,V5.2.1,7
V5.1.2,V5.1.4,7
V3.2.3,V5.1.1,7
V12.3.1,V8.3.1,7
V2.2.1,V5.2.1,7
V4.2.1,V5.2.3,6
V2.1.5,V2.1.6,6
V12.3.1,V3.4.2,6
V2.1.5,V2.1.8,6
V5.1.4,V5.2.3,6
